experiment,sub_experiment,script,workflow_name,sample_index,resampling_rate,decode_policy,predicted_text_raw,predicted_text_clean,predicted_text_normalized,reference_text_normalized,raw_wer,raw_cer,clean_wer,clean_cer,inference_time_sec,timestamp
exp3_asr_sensitivity,3A,GA20A,ga20a_whisper_pipeline,25,16000,clean, I need to pay a bill. I'd like to make payment., I need to pay a bill. I'd like to make payment.,i need to pay a bill i d like to make payment,i need to pay a bill id like to make payment,0.18181818181818182,0.022727272727272728,0.18181818181818182,0.022727272727272728,0.34130748999996285,2026-04-04 00:43:45
exp3_asr_sensitivity,3A,GA20A,ga20a_whisper_pipeline,281,16000,clean, I want to open a joint account., I want to open a joint account.,i want to open a joint account,i want to open a joint account,0.0,0.0,0.0,0.0,0.2550484999992477,2026-04-04 00:43:45
exp3_asr_sensitivity,3A,GA20A,ga20a_whisper_pipeline,250,16000,clean, I'm going overseas and I need to check my credit card works okay? Okay overseas., I'm going overseas and I need to check my credit card works okay? Okay overseas.,i m going overseas and i need to check my credit card works okay okay overseas,i m going overseas and i need to check my credit card works ok but ok overseas,0.17647058823529413,0.07692307692307693,0.17647058823529413,0.07692307692307693,0.4359257769992837,2026-04-04 00:43:46
exp3_asr_sensitivity,3A,GA20A,ga20a_whisper_pipeline,228,16000,clean, I need to change my address., I need to change my address.,i need to change my address,i need to change my address,0.0,0.0,0.0,0.0,0.22102497200012294,2026-04-04 00:43:46
exp3_asr_sensitivity,3A,GA20A,ga20a_whisper_pipeline,142,16000,clean, I need to get some money out tomorrow and I'm just wondering what's the maximum I can withdraw from the count. Thanks., I need to get some money out tomorrow and I'm just wondering what's the maximum I can withdraw from the count. Thanks.,i need to get some money out tomorrow and i m just wondering what s the maximum i can withdraw from the count thanks,i need to get money out tomorrow and i m just wondering what s the maximum i can withdraw from my account thanks,0.13043478260869565,0.08928571428571429,0.13043478260869565,0.08928571428571429,0.5528101540003263,2026-04-04 00:43:46
exp3_asr_sensitivity,3A,GA20A,ga20a_whisper_pipeline,104,16000,clean, The app isn't working., The app isn't working.,the app isn t working,the app isn t working,0.0,0.0,0.0,0.0,0.19796382200001972,2026-04-04 00:43:47
exp3_asr_sensitivity,3A,GA20A,ga20a_whisper_pipeline,558,16000,clean," Hey there, I'm just calling about setting up a direct debit. I'm just hoping that you could help me. I haven't been able to do this on the app and I just want to talk to someone about it to help set everything up."," Hey there, I'm just calling about setting up a direct debit. I'm just hoping that you could help me. I haven't been able to do this on the app and I just want to talk to someone about it to help set everything up.",hey there i m just calling about setting up a direct debit i m just hoping that you could help me i haven t been able to do this on the app and i just want to talk to someone about it to help set everything up,hello i m i m just calling about setting up a direct debit i m i m just hoping that you could help me i have never do this on the app and i just want to talk to someone about it to help you said everything up,0.25,0.14903846153846154,0.25,0.14903846153846154,1.0405391419999432,2026-04-04 00:43:48
exp3_asr_sensitivity,3A,GA20A,ga20a_whisper_pipeline,89,16000,clean," Hey mate, I'm on to lock my card. I've lost my card so I need to freeze it or stop all transactions. Can you please do that for me?"," Hey mate, I'm on to lock my card. I've lost my card so I need to freeze it or stop all transactions. Can you please do that for me?",hey mate i m on to lock my card i ve lost my card so i need to freeze it or stop all transactions can you please do that for me,hey mate i m on lock my cardos lost my card so i need the freezer to stop all transactions can you please do that for me,0.2962962962962963,0.11666666666666667,0.2962962962962963,0.11666666666666667,0.6993976750000002,2026-04-04 00:43:48
exp3_asr_sensitivity,3A,GA20A,ga20a_whisper_pipeline,604,16000,clean, Good day mate. I'm making a large purchase online at Sizzle Sunday and SMS verification code or something. I'm not sure how that works. Could you explain that? Thanks., Good day mate. I'm making a large purchase online at Sizzle Sunday and SMS verification code or something. I'm not sure how that works. Could you explain that? Thanks.,good day mate i m making a large purchase online at sizzle sunday and sms verification code or something i m not sure how that works could you explain that thanks,g day mate i m making a large purchase online it says ill send me an sms verification code or something not sure how that works could you explain it thanks,0.3225806451612903,0.14193548387096774,0.3225806451612903,0.14193548387096774,0.7551048120003543,2026-04-04 00:43:49
exp3_asr_sensitivity,3A,GA20A,ga20a_whisper_pipeline,432,16000,clean, Hi there. I'm calling about a business loan. I was wondering if I could get some information from you please., Hi there. I'm calling about a business loan. I was wondering if I could get some information from you please.,hi there i m calling about a business loan i was wondering if i could get some information from you please,hi there i m calling about a business loan i was wondering if i could get some information from you please,0.0,0.0,0.0,0.0,0.51772046699989,2026-04-04 00:43:50
exp3_asr_sensitivity,3A,GA20A,ga20a_whisper_pipeline,25,24000,clean, I need to pay a bill. I'd like to make payment., I need to pay a bill. I'd like to make payment.,i need to pay a bill i d like to make payment,i need to pay a bill id like to make payment,0.18181818181818182,0.022727272727272728,0.18181818181818182,0.022727272727272728,0.3464902579999034,2026-04-04 00:43:51
exp3_asr_sensitivity,3A,GA20A,ga20a_whisper_pipeline,281,24000,clean, I want to open a joint account., I want to open a joint account.,i want to open a joint account,i want to open a joint account,0.0,0.0,0.0,0.0,0.23471589800010406,2026-04-04 00:43:51
exp3_asr_sensitivity,3A,GA20A,ga20a_whisper_pipeline,250,24000,clean," Um, I'm trying to have a save, so I need to check my credit card works over time. What can I have a save?"," Um, I'm trying to have a save, so I need to check my credit card works over time. What can I have a save?",um i m trying to have a save so i need to check my credit card works over time what can i have a save,i m going overseas and i need to check my credit card works ok but ok overseas,0.8823529411764706,0.5512820512820513,0.8823529411764706,0.5512820512820513,0.5833550229999673,2026-04-04 00:43:52
exp3_asr_sensitivity,3A,GA20A,ga20a_whisper_pipeline,228,24000,clean, I need to change my address., I need to change my address.,i need to change my address,i need to change my address,0.0,0.0,0.0,0.0,0.24959060300079727,2026-04-04 00:43:52
exp3_asr_sensitivity,3A,GA20A,ga20a_whisper_pipeline,142,24000,clean," Um, I need to get some money out tomorrow and I'm just wondering, um, what's next then? I can withdraw from the account, thanks."," Um, I need to get some money out tomorrow and I'm just wondering, um, what's next then? I can withdraw from the account, thanks.",um i need to get some money out tomorrow and i m just wondering um what s next then i can withdraw from the account thanks,i need to get money out tomorrow and i m just wondering what s the maximum i can withdraw from my account thanks,0.2608695652173913,0.21428571428571427,0.2608695652173913,0.21428571428571427,0.6571293749993856,2026-04-04 00:43:53
exp3_asr_sensitivity,3A,GA20A,ga20a_whisper_pipeline,104,24000,clean, The app isn't working., The app isn't working.,the app isn t working,the app isn t working,0.0,0.0,0.0,0.0,0.20048046699957922,2026-04-04 00:43:53
exp3_asr_sensitivity,3A,GA20A,ga20a_whisper_pipeline,558,24000,clean," Hey there, I'm just calling about setting up a direct debit. I'm just hoping that you could help me out. I haven't been able to do this on the app and I just want to talk to someone about it to help set everything up."," Hey there, I'm just calling about setting up a direct debit. I'm just hoping that you could help me out. I haven't been able to do this on the app and I just want to talk to someone about it to help set everything up.",hey there i m just calling about setting up a direct debit i m just hoping that you could help me out i haven t been able to do this on the app and i just want to talk to someone about it to help set everything up,hello i m i m just calling about setting up a direct debit i m i m just hoping that you could help me i have never do this on the app and i just want to talk to someone about it to help you said everything up,0.2708333333333333,0.16826923076923078,0.2708333333333333,0.16826923076923078,0.9872949239997979,2026-04-04 00:43:54
exp3_asr_sensitivity,3A,GA20A,ga20a_whisper_pipeline,89,24000,clean, I wonder what my card is? What's my card? I need to freeze it to stop all transactions. Can you please do that for me?, I wonder what my card is? What's my card? I need to freeze it to stop all transactions. Can you please do that for me?,i wonder what my card is what s my card i need to freeze it to stop all transactions can you please do that for me,hey mate i m on lock my cardos lost my card so i need the freezer to stop all transactions can you please do that for me,0.48148148148148145,0.275,0.48148148148148145,0.275,0.6049162119998073,2026-04-04 00:43:54
exp3_asr_sensitivity,3A,GA20A,ga20a_whisper_pipeline,604,24000,clean," Yeah, good I might. I'm making a large purchase on one at Cecil's in the SMS verification code or something. I'm not sure how that works. Could you explain that? Thanks."," Yeah, good I might. I'm making a large purchase on one at Cecil's in the SMS verification code or something. I'm not sure how that works. Could you explain that? Thanks.",yeah good i might i m making a large purchase on one at cecil s in the sms verification code or something i m not sure how that works could you explain that thanks,g day mate i m making a large purchase online it says ill send me an sms verification code or something not sure how that works could you explain it thanks,0.45161290322580644,0.23870967741935484,0.45161290322580644,0.23870967741935484,0.786546172999806,2026-04-04 00:43:55
exp3_asr_sensitivity,3A,GA20A,ga20a_whisper_pipeline,432,24000,clean, Hi there. I'm calling about a business loan. I was wondering if I could get some information from you please., Hi there. I'm calling about a business loan. I was wondering if I could get some information from you please.,hi there i m calling about a business loan i was wondering if i could get some information from you please,hi there i m calling about a business loan i was wondering if i could get some information from you please,0.0,0.0,0.0,0.0,0.5172541400006594,2026-04-04 00:43:56
exp3_asr_sensitivity,3A,GA20B,ga20b_wav2vec2_ctc,25,8000,clean,THE CARBAR ECNOTGON,THE CARBAR ECNOTGON,the carbar ecnotgon,i need to pay a bill id like to make payment,1.0,0.8181818181818182,1.0,0.8181818181818182,0.18443629400007922,2026-04-04 00:43:58
exp3_asr_sensitivity,3A,GA20B,ga20b_wav2vec2_ctc,281,8000,clean,IRTOMBLE TOMTIN,IRTOMBLE TOMTIN,irtomble tomtin,i want to open a joint account,1.0,0.7333333333333333,1.0,0.7333333333333333,0.07988670100075979,2026-04-04 00:43:58
exp3_asr_sensitivity,3A,GA20B,ga20b_wav2vec2_ctc,250,8000,clean,ANT LELLON FOLVEN AL THE COK CLOCK I BRO OTER ART OVOL,ANT LELLON FOLVEN AL THE COK CLOCK I BRO OTER ART OVOL,ant lellon folven al the cok clock i bro oter art ovol,i m going overseas and i need to check my credit card works ok but ok overseas,1.0,0.717948717948718,1.0,0.717948717948718,0.152216318999308,2026-04-04 00:43:58
exp3_asr_sensitivity,3A,GA20B,ga20b_wav2vec2_ctc,228,8000,clean,ARE WONT THE TONES ROUND OFF,ARE WONT THE TONES ROUND OFF,are wont the tones round off,i need to change my address,1.0,0.8518518518518519,1.0,0.8518518518518519,0.12985938400015584,2026-04-04 00:43:58
exp3_asr_sensitivity,3A,GA20B,ga20b_wav2vec2_ctc,142,8000,clean,IM I'LL TOFAN OL HATRAN IN  RENI AM I THOUGHT OM I ALLD ORFER WITHOUT BOTON,IM I'LL TOFAN OL HATRAN IN  RENI AM I THOUGHT OM I ALLD ORFER WITHOUT BOTON,im i ll tofan ol hatran in reni am i thought om i alld orfer without boton,i need to get money out tomorrow and i m just wondering what s the maximum i can withdraw from my account thanks,0.9130434782608695,0.6964285714285714,0.9130434782608695,0.6964285714285714,0.21896664099949703,2026-04-04 00:43:58
exp3_asr_sensitivity,3A,GA20B,ga20b_wav2vec2_ctc,104,8000,clean,BLACK  RUN,BLACK  RUN,black run,the app isn t working,1.0,0.8095238095238095,1.0,0.8095238095238095,0.07756136300031358,2026-04-04 00:43:58
exp3_asr_sensitivity,3A,GA20B,ga20b_wav2vec2_ctc,558,8000,clean,O I ROLS OF CURL ABOUT FOLGER ALL THE ROUGH BOTTLE AN AND OF COT O WATTER LL AUT YOU ON BOT AMERLIN AS RETHERT LOUT HART BLOT FOLLOWIN,O I ROLS OF CURL ABOUT FOLGER ALL THE ROUGH BOTTLE AN AND OF COT O WATTER LL AUT YOU ON BOT AMERLIN AS RETHERT LOUT HART BLOT FOLLOWIN,o i rols of curl about folger all the rough bottle an and of cot o watter ll aut you on bot amerlin as rethert lout hart blot followin,hello i m i m just calling about setting up a direct debit i m i m just hoping that you could help me i have never do this on the app and i just want to talk to someone about it to help you said everything up,0.9375,0.7115384615384616,0.9375,0.7115384615384616,0.2739285079996989,2026-04-04 00:43:59
exp3_asr_sensitivity,3A,GA20B,ga20b_wav2vec2_ctc,89,8000,clean,OH NO IM IRANTI RECONTILE O FOR SOMETIMES ALL BOT FLORTARSAARTO LUTCELS PORTER THORNTON,OH NO IM IRANTI RECONTILE O FOR SOMETIMES ALL BOT FLORTARSAARTO LUTCELS PORTER THORNTON,oh no im iranti recontile o for sometimes all bot flortarsaarto lutcels porter thornton,hey mate i m on lock my cardos lost my card so i need the freezer to stop all transactions can you please do that for me,0.9629629629629629,0.7166666666666667,0.9629629629629629,0.7166666666666667,0.21627331800027605,2026-04-04 00:43:59
exp3_asr_sensitivity,3A,GA20B,ga20b_wav2vec2_ctc,604,8000,clean,ELL O NOW I'M NOTHER  ROUND TOUT OF A RUN O OF ORFAON OFAN A SPOT ADOSNT OLLOR I I'M WORTOR HAN ROP,ELL O NOW I'M NOTHER  ROUND TOUT OF A RUN O OF ORFAON OFAN A SPOT ADOSNT OLLOR I I'M WORTOR HAN ROP,ell o now i m nother round tout of a run o of orfaon ofan a spot adosnt ollor i i m wortor han rop,g day mate i m making a large purchase online it says ill send me an sms verification code or something not sure how that works could you explain it thanks,0.9354838709677419,0.7290322580645161,0.9354838709677419,0.7290322580645161,0.3093880910000735,2026-04-04 00:43:59
exp3_asr_sensitivity,3A,GA20B,ga20b_wav2vec2_ctc,432,8000,clean,YO LOT ENOTATE IR  AE LUSFAE,YO LOT ENOTATE IR  AE LUSFAE,yo lot enotate ir ae lusfae,hi there i m calling about a business loan i was wondering if i could get some information from you please,1.0,0.8301886792452831,1.0,0.8301886792452831,0.15020720299980894,2026-04-04 00:43:59
exp3_asr_sensitivity,3A,GA20B,ga20b_wav2vec2_ctc,25,16000,clean,I'M I ME TO PAY A BILL I'D LIKE TO MAKE PAYMENT,I'M I ME TO PAY A BILL I'D LIKE TO MAKE PAYMENT,i m i me to pay a bill i d like to make payment,i need to pay a bill id like to make payment,0.45454545454545453,0.1590909090909091,0.45454545454545453,0.1590909090909091,0.2726970319999964,2026-04-04 00:44:00
exp3_asr_sensitivity,3A,GA20B,ga20b_wav2vec2_ctc,281,16000,clean,I WANT TO OPEN A JOINT ACCOUNT,I WANT TO OPEN A JOINT ACCOUNT,i want to open a joint account,i want to open a joint account,0.0,0.0,0.0,0.0,0.12952742200013745,2026-04-04 00:44:00
exp3_asr_sensitivity,3A,GA20B,ga20b_wav2vec2_ctc,250,16000,clean,AM JANGAVASAYS AN I NEED TO CHECK MY CREDIT CADWORKS A THE CAI LIKE IAVA SAY,AM JANGAVASAYS AN I NEED TO CHECK MY CREDIT CADWORKS A THE CAI LIKE IAVA SAY,am jangavasays an i need to check my credit cadworks a the cai like iava say,i m going overseas and i need to check my credit card works ok but ok overseas,0.7058823529411765,0.3974358974358974,0.7058823529411765,0.3974358974358974,0.39589454399992974,2026-04-04 00:44:00
exp3_asr_sensitivity,3A,GA20B,ga20b_wav2vec2_ctc,228,16000,clean,I NEED TO CHANGE MY ADDRESS,I NEED TO CHANGE MY ADDRESS,i need to change my address,i need to change my address,0.0,0.0,0.0,0.0,0.28812517000005755,2026-04-04 00:44:01
exp3_asr_sensitivity,3A,GA20B,ga20b_wav2vec2_ctc,142,16000,clean,II NEED TO GET MONEY OUT TOMORR AND I'M JUST RUNNING AT ROME WHAT'S THE MAXEM I CAN WITHDRAW FROM THE COUNT THANKS,II NEED TO GET MONEY OUT TOMORR AND I'M JUST RUNNING AT ROME WHAT'S THE MAXEM I CAN WITHDRAW FROM THE COUNT THANKS,ii need to get money out tomorr and i m just running at rome what s the maxem i can withdraw from the count thanks,i need to get money out tomorrow and i m just wondering what s the maximum i can withdraw from my account thanks,0.34782608695652173,0.21428571428571427,0.34782608695652173,0.21428571428571427,0.7400760640002773,2026-04-04 00:44:01
exp3_asr_sensitivity,3A,GA20B,ga20b_wav2vec2_ctc,104,16000,clean,THE AP ISN'T WORKING,THE AP ISN'T WORKING,the ap isn t working,the app isn t working,0.2,0.047619047619047616,0.2,0.047619047619047616,0.17235114499999327,2026-04-04 00:44:01
exp3_asr_sensitivity,3A,GA20B,ga20b_wav2vec2_ctc,558,16000,clean,HOVER I'M I'M JUST CALLING ABOUT SITTING UP A DIRECT DEVERT I'M I'M JUST HOPING THAT YOU COUL HELP ME I HAVEN'T BEEN ABLE DO THIS ARM ON THE APINO JUST WHENT TO TALK TO SOME ONE ABOUT IT TO HELP YOU KNOW SEIT EVERYTHING UP,HOVER I'M I'M JUST CALLING ABOUT SITTING UP A DIRECT DEVERT I'M I'M JUST HOPING THAT YOU COUL HELP ME I HAVEN'T BEEN ABLE DO THIS ARM ON THE APINO JUST WHENT TO TALK TO SOME ONE ABOUT IT TO HELP YOU KNOW SEIT EVERYTHING UP,hover i m i m just calling about sitting up a direct devert i m i m just hoping that you coul help me i haven t been able do this arm on the apino just whent to talk to some one about it to help you know seit everything up,hello i m i m just calling about setting up a direct debit i m i m just hoping that you could help me i have never do this on the app and i just want to talk to someone about it to help you said everything up,0.3541666666666667,0.19230769230769232,0.3541666666666667,0.19230769230769232,0.8836527650000789,2026-04-04 00:44:02
exp3_asr_sensitivity,3A,GA20B,ga20b_wav2vec2_ctc,89,16000,clean,EMAT AM AMON TE LOKMACAD OF LOSMACADS AN DED THE FREEZER TO STOPLE TRANSACTIONS CAN YOUAIN PLEASE DO THAT FOR ME,EMAT AM AMON TE LOKMACAD OF LOSMACADS AN DED THE FREEZER TO STOPLE TRANSACTIONS CAN YOUAIN PLEASE DO THAT FOR ME,emat am amon te lokmacad of losmacads an ded the freezer to stople transactions can youain please do that for me,hey mate i m on lock my cardos lost my card so i need the freezer to stop all transactions can you please do that for me,0.6296296296296297,0.2916666666666667,0.6296296296296297,0.2916666666666667,0.5877872209994166,2026-04-04 00:44:03
exp3_asr_sensitivity,3A,GA20B,ga20b_wav2vec2_ctc,604,16000,clean,EH GET I MI AM I MAKING A LARGE PURCHASE ON WINE AT SIZIL SENDI AN ESEMES EFROCATION CARRID OR SOMETHING IM NOT SURE HOW THAT WORKS COULD YOU EXPLAIN THAT THANKS,EH GET I MI AM I MAKING A LARGE PURCHASE ON WINE AT SIZIL SENDI AN ESEMES EFROCATION CARRID OR SOMETHING IM NOT SURE HOW THAT WORKS COULD YOU EXPLAIN THAT THANKS,eh get i mi am i making a large purchase on wine at sizil sendi an esemes efrocation carrid or something im not sure how that works could you explain that thanks,g day mate i m making a large purchase online it says ill send me an sms verification code or something not sure how that works could you explain it thanks,0.5483870967741935,0.2709677419354839,0.5483870967741935,0.2709677419354839,0.6255967150000288,2026-04-04 00:44:04
exp3_asr_sensitivity,3A,GA20B,ga20b_wav2vec2_ctc,432,16000,clean,I THEH I'M CALLING ABOUT A BUSINESS LAND I WAS WONTEN IF I GET SOME INFORMATION FROM YO PLACE,I THEH I'M CALLING ABOUT A BUSINESS LAND I WAS WONTEN IF I GET SOME INFORMATION FROM YO PLACE,i theh i m calling about a business land i was wonten if i get some information from yo place,hi there i m calling about a business loan i was wondering if i could get some information from you please,0.3333333333333333,0.16981132075471697,0.3333333333333333,0.16981132075471697,0.3066082509994885,2026-04-04 00:44:04
exp3_asr_sensitivity,3A,GA20B,ga20b_wav2vec2_ctc,25,24000,clean,IMI ME TO PAY A GILL I LAT T MAKE PAYLO,IMI ME TO PAY A GILL I LAT T MAKE PAYLO,imi me to pay a gill i lat t make paylo,i need to pay a bill id like to make payment,0.6363636363636364,0.3409090909090909,0.6363636363636364,0.3409090909090909,0.38160614800017356,2026-04-04 00:44:04
exp3_asr_sensitivity,3A,GA20B,ga20b_wav2vec2_ctc,281,24000,clean,I WANT TO OCERE JOIN TOTOM,I WANT TO OCERE JOIN TOTOM,i want to ocere join totom,i want to open a joint account,0.5714285714285714,0.36666666666666664,0.5714285714285714,0.36666666666666664,0.12510902900066867,2026-04-04 00:44:04
exp3_asr_sensitivity,3A,GA20B,ga20b_wav2vec2_ctc,250,24000,clean,ALL GVODOE FOO FOR YU FOT ON OVECALL WAT FOE CA AN OCALE FOO,ALL GVODOE FOO FOR YU FOT ON OVECALL WAT FOE CA AN OCALE FOO,all gvodoe foo for yu fot on ovecall wat foe ca an ocale foo,i m going overseas and i need to check my credit card works ok but ok overseas,1.0,0.7564102564102564,1.0,0.7564102564102564,0.47375752900006773,2026-04-04 00:44:05
exp3_asr_sensitivity,3A,GA20B,ga20b_wav2vec2_ctc,228,24000,clean,I MEAN TO CHANGE MY GRAVE,I MEAN TO CHANGE MY GRAVE,i mean to change my grave,i need to change my address,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.38634035300037795,2026-04-04 00:44:05
exp3_asr_sensitivity,3A,GA20B,ga20b_wav2vec2_ctc,142,24000,clean,O WAARE YOU TOGOCMANY A CMORA BAGORMER O WHAT YOU ARE COM BA GOCOMERCO A AL,O WAARE YOU TOGOCMANY A CMORA BAGORMER O WHAT YOU ARE COM BA GOCOMERCO A AL,o waare you togocmany a cmora bagormer o what you are com ba gocomerco a al,i need to get money out tomorrow and i m just wondering what s the maximum i can withdraw from my account thanks,0.9565217391304348,0.6785714285714286,0.9565217391304348,0.6785714285714286,0.7786770330003492,2026-04-04 00:44:06
exp3_asr_sensitivity,3A,GA20B,ga20b_wav2vec2_ctc,104,24000,clean,BE UP I WALKING,BE UP I WALKING,be up i walking,the app isn t working,1.0,0.47619047619047616,1.0,0.47619047619047616,0.15649683700030437,2026-04-04 00:44:06
exp3_asr_sensitivity,3A,GA20B,ga20b_wav2vec2_ctc,558,24000,clean,HEER A ONDO COIN ABOUT IIN AP BA DO WAT GED A ONTIHOPING HAT YOU CAN HOLLY AR ANLY MAN DO A ON THE ABLOGICH ONT HOLD TO FALL ON A VALLEY TO HOLP NO FA WI NOK,HEER A ONDO COIN ABOUT IIN AP BA DO WAT GED A ONTIHOPING HAT YOU CAN HOLLY AR ANLY MAN DO A ON THE ABLOGICH ONT HOLD TO FALL ON A VALLEY TO HOLP NO FA WI NOK,heer a ondo coin about iin ap ba do wat ged a ontihoping hat you can holly ar anly man do a on the ablogich ont hold to fall on a valley to holp no fa wi nok,hello i m i m just calling about setting up a direct debit i m i m just hoping that you could help me i have never do this on the app and i just want to talk to someone about it to help you said everything up,0.8541666666666666,0.5721153846153846,0.8541666666666666,0.5721153846153846,0.8604598990004888,2026-04-04 00:44:07
exp3_asr_sensitivity,3A,GA20B,ga20b_wav2vec2_ctc,89,24000,clean,AA ON AT ANY C YE AR CARGL OSHOR CALL FOR YOU GOD E YOU TAN TO PANKERN FORSUCH YOU PWISTOGO FON,AA ON AT ANY C YE AR CARGL OSHOR CALL FOR YOU GOD E YOU TAN TO PANKERN FORSUCH YOU PWISTOGO FON,aa on at any c ye ar cargl oshor call for you god e you tan to pankern forsuch you pwistogo fon,hey mate i m on lock my cardos lost my card so i need the freezer to stop all transactions can you please do that for me,0.9259259259259259,0.65,0.9259259259259259,0.65,0.7441098139997848,2026-04-04 00:44:08
exp3_asr_sensitivity,3A,GA20B,ga20b_wav2vec2_ctc,604,24000,clean,WHO TE AR MA ALL OMY COMARO WA CROCUGE O A CHE ME SAMME GESHAA GERIKESHOUL GAVME SHOLTMAN ALL MOCHO HAWA WONC COULD YOU CKANO BANC,WHO TE AR MA ALL OMY COMARO WA CROCUGE O A CHE ME SAMME GESHAA GERIKESHOUL GAVME SHOLTMAN ALL MOCHO HAWA WONC COULD YOU CKANO BANC,who te ar ma all omy comaro wa crocuge o a che me samme geshaa gerikeshoul gavme sholtman all mocho hawa wonc could you ckano banc,g day mate i m making a large purchase online it says ill send me an sms verification code or something not sure how that works could you explain it thanks,0.9032258064516129,0.6516129032258065,0.9032258064516129,0.6516129032258065,1.0143870950005294,2026-04-04 00:44:09
